title,similar_title,cosine_similarity
iron man,megamind,0.859281
evan almighty,noah,0.8727747
edge of tomorrow,xxx,0.85180837
g.i. joe: the rise of cobra,g.i. joe: retaliation,0.88150465
the jungle book,life of pi,0.8558142
iron man 2,superman iii,0.86029506
snow white and the huntsman,mirror mirror,0.88612854
the lovers,why did i get married?,0.8501295
captain america: the winter soldier,captain america: the first avenger,0.85906184
shrek forever after,shrek the third,0.89483255
the polar express,snowpiercer,0.8516308
independence day: resurgence,stealth,0.85054135
terminator 3: rise of the machines,terminator genisys,0.87147796
interstellar,prometheus,0.87354815
the hobbit: an unexpected journey,the lord of the rings: the fellowship of the ring,0.8802926
the curious case of benjamin button,the invention of lying,0.85765165
x-men: first class,x2,0.8988602
the hunger games: mockingjay - part 2,the hunger games: catching fire,0.9174937
the sorcerer's apprentice,final destination 5,0.85007596
alice through the looking glass,the secret life of walter mitty,0.8507351
shrek the third,shrek 2,0.9160858
warcraft,"war, inc.",0.85150355
terminator genisys,terminator 2: judgment day,0.8863436
pearl harbor,high crimes,0.85290414
transformers,transcendence,0.851844
harry potter and the order of the phoenix,harry potter and the goblet of fire,0.9260274
harry potter and the goblet of fire,harry potter and the prisoner of azkaban,0.9066805
charlie and the chocolate factory,doogal,0.8510073
batman begins,the wolf of wall street,0.85780686
madagascar: escape 2 africa,madagascar 3: europe's most wanted,0.85072565
night at the museum: battle of the smithsonian,night at the museum,0.88027245
frozen,wu ji,0.8510505
thor: the dark world,thor,0.9002841
mad max: fury road,caravans,0.8518342
angels & demons,the da vinci code,0.8723638
g-force,hoodwinked!,0.85457367
wrath of the titans,clash of the titans,0.88971084
dark shadows,fright night,0.8580323
mission: impossible - rogue nation,mission: impossible iii,0.8689185
the wolfman,wolf,0.8506201
kung fu panda 2,kung fu panda,0.89558107
mission: impossible iii,mission: impossible ii,0.88138187
white house down,chasing liberty,0.85138714
mars needs moms,mission to mars,0.86176246
mr. peabody & sherman,the shaggy dog,0.85206234
madagascar 3: europe's most wanted,madagascar,0.86465085
die another day,the world is not enough,0.85285497
men in black ii,men in black,0.89277935
kung fu panda 3,rise of the guardians,0.8616973
rise of the guardians,tomorrow never dies,0.8648528
fun with dick and jane,ghost,0.8505827
the last samurai,showdown in little tokyo,0.85570407
star trek,star trek iv: the voyage home,0.899968
spider-man,despicable me 2,0.85343564
gods of egypt,the score,0.86859715
stealth,pixels,0.86765385
watchmen,v for vendetta,0.8559276
lethal weapon 4,lethal weapon 3,0.860586
hulk,the incredible hulk,0.860419
g.i. joe: retaliation,my fellow americans,0.86485463
sahara,master and commander: the far side of the world,0.8722307
the world is not enough,sorcerer,0.85382766
master and commander: the far side of the world,tears of the sun,0.8559241
the twilight saga: breaking dawn - part 2,hotel transylvania,0.8523991
happy feet two,happy feet,0.8680318
the hunger games: catching fire,the hunger games,0.91369617
war of the worlds,post grad,0.86219597
bad boys ii,bad boys,0.88905555
puss in boots,la véritable histoire du chat botté,0.8913881
noah,love actually,0.85068357
harry potter and the prisoner of azkaban,harry potter and the chamber of secrets,0.9325339
dinosaur,jurassic park,0.8627344
night at the museum: secret of the tomb,stardust,0.8661144
megamind,the wolverine,0.85479033
r.i.p.d.,the interpreter,0.8600813
pirates of the caribbean: the curse of the black pearl,the pirate,0.85586023
the hunger games: mockingjay - part 1,insurgent,0.8600566
x2,x-men,0.89302146
fast five,s.w.a.t.,0.85055494
sherlock holmes: a game of shadows,sherlock holmes,0.8726104
total recall,should've been romeo,0.8555058
the bourne legacy,jason bourne,0.908934
the day after tomorrow,the day the earth stood still,0.87160033
mission: impossible ii,mission: impossible,0.8709556
the perfect storm,triangle,0.86594117
ghost rider,ghost rider: spirit of vengeance,0.85914177
jason bourne,the spanish prisoner,0.88846356
charlie's angels: full throttle,the hours,0.8524536
prometheus,the chronicles of riddick,0.8618002
stuart little 2,stuart little,0.8955624
speed racer,need for speed,0.90456903
how do you know,ice age: dawn of the dinosaurs,0.8522588
knight and day,the holiday,0.8558629
star wars: episode iii - revenge of the sith,star wars: episode ii - attack of the clones,0.89478195
star wars: episode ii - attack of the clones,the empire strikes back,0.8511679
"monsters, inc.",road to perdition,0.8595026
star wars: episode i - the phantom menace,mary reilly,0.85001767
the croods,the descent,0.8699822
teenage mutant ninja turtles,teenage mutant ninja turtles: out of the shadows,0.8668113
teenage mutant ninja turtles: out of the shadows,tmnt,0.86543083
fantastic four,divergent,0.85381955
san andreas,black hawk down,0.85029423
ocean's twelve,ocean's eleven,0.85580665
mr. & mrs. smith,the dead zone,0.868626
insurgent,allegiant,0.8880143
the aviator,the hoax,0.87059164
gulliver's travels,left behind,0.863206
300: rise of an empire,300,0.8792262
the smurfs,the smurfs 2,0.8783375
the smurfs 2,les visiteurs 2 : les couloirs du temps,0.8514974
live free or die hard,face/off,0.8566755
ali,rocky,0.8514603
the cat in the hat,don gato: el inicio de la pandilla,0.8571657
"i, robot",a.i. artificial intelligence,0.85263664
kingdom of heaven,braveheart,0.85338557
stuart little,minions,0.85236216
the princess and the frog,accidental love,0.85060346
the martian,spaced invaders,0.8572041
town & country,payback,0.87436205
harry potter and the chamber of secrets,the league of extraordinary gentlemen,0.8513904
planet of the apes,the peanuts movie,0.85697293
terminator 2: judgment day,the terminator,0.90142775
public enemies,inside man,0.8604542
american gangster,traffic,0.85536456
the taking of pelham 1 2 3,money train,0.8898212
little fockers,meet the fockers,0.8695925
the other guys,pride and glory,0.85611546
django unchained,ben-hur,0.85811484
the hunchback of notre dame,the scorpion king,0.853504
epic,cinderella,0.85168576
cloud atlas,the shadow,0.85138583
catwoman,show me,0.8650391
hercules,the legend of hercules,0.88339674
land of the lost,superhero movie,0.85039204
point break,entrapment,0.85094035
in the heart of the sea,moby dick,0.8879718
green zone,three kings,0.8616631
the peanuts movie,red,0.87844807
gangs of new york,a most violent year,0.863584
金陵十三釵,lucy,0.8509517
surf's up,fast times at ridgemont high,0.8616827
the stepford wives,gone girl,0.8681572
the campaign,the lincoln lawyer,0.8515094
the fifth element,race to witch mountain,0.91229707
sex and the city 2,must love dogs,0.86332434
cinderella,the spiderwick chronicles,0.8572339
the lovely bones,beloved,0.85250527
the lord of the rings: the return of the king,the lord of the rings: the two towers,0.90433884
lara croft: tomb raider,lara croft tomb raider: the cradle of life,0.8688397
transcendence,the time machine,0.8638312
a good day to die hard,die hard: with a vengeance,0.8769154
the incredibles,the phantom,0.85768265
percy jackson & the olympians: the lightning thief,percy jackson: sea of monsters,0.8799001
men in black,mars attacks!,0.85273564
toy story 2,toy story,0.8953314
unstoppable,unbreakable,0.8516256
rush hour 2,the replacement killers,0.85761905
what lies beneath,in dreams,0.8565581
cloudy with a chance of meatballs,cloudy with a chance of meatballs 2,0.8735156
ice age: dawn of the dinosaurs,over the hedge,0.86266357
the departed,hostage,0.86356753
mulan,shanghai noon,0.85479957
the girl with the dragon tattoo,the hunting party,0.8536959
die hard: with a vengeance,die hard 2,0.8575982
atlantis: the lost empire,k-19: the widowmaker,0.8639093
pixels,creepshow,0.8700022
a.i. artificial intelligence,bicentennial man,0.85232824
the haunted mansion,american wedding,0.8567255
the interpreter,safe house,0.87264264
percy jackson: sea of monsters,hellboy ii: the golden army,0.8505509
now you see me 2,agent cody banks 2: destination london,0.8500847
the saint,the bodyguard,0.8534051
mission to mars,red planet,0.9080343
bicentennial man,nothing,0.8558627
the devil's own,angela's ashes,0.8525285
k-19: the widowmaker,the abyss,0.85337615
cinderella man,the hurricane,0.86012477
the nutcracker: the untold story,winter's tale,0.8569846
seabiscuit,the last castle,0.85188854
happy feet,la marche de l'empereur,0.85698617
ocean's eleven,ocean's thirteen,0.8811401
the three musketeers,the musketeer,0.87874436
hotel transylvania,hotel transylvania 2,0.8803207
safe house,get smart,0.8508272
tower heist,taken,0.8504821
the holiday,nutty professor ii: the klumps,0.8711918
it's complicated,remember me,0.8563187
open season,the frozen,0.86725664
last action hero,cats don't dance,0.8578964
collateral damage,the siege,0.8513841
all that jazz,bowfinger,0.8512138
mirror mirror,the princess diaries,0.8603871
nutty professor ii: the klumps,what women want,0.8539389
click,funny people,0.8598936
hellboy ii: the golden army,little nicky,0.8687337
the 6th day,conspiracy theory,0.87062067
over the hedge,furry vengeance,0.8646915
charlotte's web,knocked up,0.8554018
deep impact,meteor,0.86314255
red 2,thirteen days,0.85562766
grown ups 2,the faculty,0.85983175
something's gotta give,stepmom,0.85049856
robots,autómata,0.8631686
road to perdition,frequency,0.89652956
con air,the happening,0.8573077
eagle eye,the spy next door,0.85899246
the day the earth stood still,time to choose,0.85382503
spirit: stallion of the cimarron,dreamer: inspired by a true story,0.8558062
lost in space,escape from the planet of the apes,0.8544772
hotel transylvania 2,dracula untold,0.85373145
fantasia 2000,august rush,0.8522689
the time machine,timeline,0.85877424
swordfish,contraband,0.85053337
the legend of zorro,the mask of zorro,0.8772045
mars attacks!,battle: los angeles,0.8653462
évolution,gattaca,0.8515016
surrogates,sucker punch,0.8604468
thirteen days,crimson tide,0.85492605
nine,vanilla sky,0.8533366
timeline,bogus,0.8555467
the postman,final destination 2,0.85982174
babe: pig in the city,in the name of the king: a dungeon siege tale,0.8560592
red planet,martian child,0.8612842
oceans,children of men,0.85095215
a sound of thunder,the village,0.8841557
the lion king,my all american,0.8506421
journey 2: the mysterious island,joy,0.8826298
red dragon,hannibal rising,0.8736228
jack and jill,the family man,0.85602266
2 fast 2 furious,parker,0.8500181
the adventures of rocky & bullwinkle,my best friend's girl,0.8525162
children of men,dolphin tale 2,0.861177
x-men,the hills have eyes ii,0.86308426
wanted,dick tracy,0.8500556
ice age: the meltdown,ice age,0.877272
50 first dates,over her dead body,0.85811746
hairspray,music and lyrics,0.86267835
now you see me,the last shot,0.8769891
grown ups,we are marshall,0.858744
shark tale,into the blue,0.86882323
be cool,man on the moon,0.86019474
the man from u.n.c.l.e.,the sum of all fears,0.87399757
first knight,quest for camelot,0.8795141
immortals,"i, frankenstein",0.8547653
hostage,ransom,0.8504227
titan a.e.,the final destination,0.8506093
minions,jay and silent bob strike back,0.8544166
snake eyes,the black dahlia,0.85814553
fool's gold,salton sea,0.85370743
funny people,he's just not that into you,0.8507238
dr. dolittle 2,doctor dolittle,0.8646809
signs,a better life,0.88601893
shrek 2,shrek,0.8591231
runaway bride,neal 'n' nikki,0.85415417
the spongebob movie: sponge out of water,the spongebob squarepants movie,0.8863507
inglourious basterds,the statement,0.8514935
hook,finding neverland,0.90595
die hard 2,die hard,0.8903162
s.w.a.t.,the glimmer man,0.854368
vanilla sky,zack and miri make a porno,0.86000836
avp: alien vs. predator,the thing,0.86586225
alvin and the chipmunks: the squeakquel,alvin and the chipmunks,0.8581815
we were soldiers,flyboys,0.8730278
olympus has fallen,the art of war,0.8559494
star trek: insurrection,star trek: first contact,0.85280985
battle: los angeles,antz,0.8507922
big fish,the brothers bloom,0.8824266
wolf,abraham lincoln: vampire hunter,0.86226475
the abyss,das boot,0.86293286
wall street: money never sleeps,inside job,0.8652949
the siege,bad company,0.8614125
stardust,the adjustment bureau,0.8567394
seven years in tibet,everest,0.8536722
the dilemma,the ugly truth,0.85291815
bad company,this means war,0.8706779
underworld: awakening,blade ii,0.8524104
rollerball,roll bounce,0.8559608
osmosis jones,contagion,0.8818461
legends of oz: dorothy's return,the wizard of oz,0.8970677
basic instinct 2,under the skin,0.8502088
the sum of all fears,jack ryan: shadow recruit,0.85200286
the twilight saga: eclipse,the twilight saga: new moon,0.9105432
despicable me,moon,0.87794584
ted 2,guess who,0.85686505
hall pass,"you, me and dupree",0.8675122
dinner for schmucks,about time,0.8677938
abraham lincoln: vampire hunter,the hateful eight,0.8529018
entrapment,sin city: a dame to kill for,0.8620392
the x files,american hustle,0.8542858
the last legion,risen,0.8531868
need for speed,days of thunder,0.85002613
ice age,the man in the iron mask,0.8501212
apollo 13,apollo 18,0.85395306
the santa clause 2,the santa clause,0.86874163
les misérables,chéri,0.8569683
unbroken,without limits,0.8553056
space cowboys,zathura: a space adventure,0.8551912
cliffhanger,127 hours,0.85693073
the dictator,london has fallen,0.8684355
annie,trust,0.88934505
this means war,duplicity,0.86627984
primary colors,cleopatra,0.85758096
resident evil: retribution,resident evil: afterlife,0.91068393
death race,escape from new york,0.8656543
the long kiss goodnight,because i said so,0.85129535
proof of life,aloha,0.8545949
zathura: a space adventure,astro boy,0.86566997
we are marshall,leatherheads,0.85684156
oliver twist,oliver!,0.9259897
random hearts,a guy named joe,0.85228837
austin powers in goldmember,austin powers: the spy who shagged me,0.90336
wyatt earp,tombstone,0.912098
clear and present danger,2 guns,0.8522855
blades of glory,chariots of fire,0.86480427
meet the fockers,meet the parents,0.9221889
wild hogs,the signal,0.85287637
gone girl,inkheart,0.8548044
goldeneye,for your eyes only,0.8642759
the truman show,morning glory,0.85050005
couples retreat,why did i get married too?,0.8634145
the family man,a thousand words,0.8623115
the scorpion king,sphinx,0.8765469
michael jackson's this is it,get on up,0.8569354
contagion,outbreak,0.9166787
the happening,a nightmare on elm street,0.85396445
a civil action,madea's witness protection,0.85849386
under siege 2: dark territory,the peacemaker,0.8535228
jack ryan: shadow recruit,patriot games,0.9001843
joy,the soloist,0.8586805
london has fallen,shooter,0.8623244
alien: resurrection,the talented mr. ripley,0.8625896
shooter,righteous kill,0.86934656
the boxtrolls,c.h.u.d.,0.85917103
the lego movie,small soldiers,0.8721706
miss congeniality 2: armed and fabulous,miss congeniality,0.9271969
reign of fire,dragonheart,0.87961996
gangster squad,run all night,0.8559393
year one,mean streets,0.8513974
invictus,mandela: long walk to freedom,0.89792556
duplicity,disclosure,0.8789515
the sentinel,mercury rising,0.86257607
star trek: nemesis,serenity,0.8529976
intolerable cruelty,yes man,0.85851955
analyze that,sleepers,0.8517157
righteous kill,did you hear about the morgans?,0.85743624
the legend of bagger vance,tin cup,0.86538005
almost famous,shorts,0.85119563
garfield: a tail of two kitties,garfield,0.91217285
dragonfly,the judge,0.85101295
the black dahlia,street fighter: the legend of chun-li,0.85092574
flyboys,red tails,0.8720855
winter's tale,elizabeth: the golden age,0.85056806
meet dave,pandorum,0.864509
inkheart,imagine that,0.8552794
the spirit,assault on precinct 13,0.8535318
mortdecai,trance,0.85310686
in the name of the king: a dungeon siege tale,a million ways to die in the west,0.87599254
the great raid,american ninja 2: the confrontation,0.8564962
goosebumps,don't say a word,0.8511117
just like heaven,housebound,0.85026026
the flintstones in viva rock vegas,the flintstones,0.8626231
rambo iii,rambo: first blood part ii,0.8705244
leatherheads,jerry maguire,0.87032676
the ridiculous 6,memoirs of an invisible man,0.8501108
did you hear about the morgans?,bullet to the head,0.8731015
resident evil: afterlife,city of angels,0.8519533
that's my boy,domestic disturbance,0.8500638
the pacifier,act of valor,0.8507992
forrest gump,finding forrester,0.85460585
alvin and the chipmunks,mutual appreciation,0.8504804
superman,superman ii,0.85393536
date night,closer,0.8502546
city of angels,universal soldier: the return,0.8507067
kill bill: vol. 1,kill bill: vol. 2,0.94698966
death becomes her,sea of love,0.851714
shanghai noon,shanghai knights,0.8664232
executive decision,rendition,0.85151654
the forbidden kingdom,功夫,0.85690635
free birds,american pie 2,0.8603253
ronin,the wind that shakes the barley,0.8534007
the ghost and the darkness,american outlaws,0.852282
the watch,the crazies,0.86584663
the hunted,trolljegeren,0.85121715
changeling,the pledge,0.8531601
chain reaction,deck the halls,0.85348505
elizabeth: the golden age,joan of arc,0.8520219
æon flux,resident evil,0.86148417
gods and generals,stonewall,0.8779312
turbulence,airplane!,0.8527978
imagine that,central intelligence,0.85086966
muppets most wanted,the muppet movie,0.8752005
thunderbirds,the specials,0.8551363
lolita,all the real girls,0.85347027
blade ii,blade,0.9106496
the godfather: part iii,city by the sea,0.850249
"you, me and dupree",secret window,0.86370426
all the king's men,the ides of march,0.86696297
moulin rouge!,the artist,0.85416365
domestic disturbance,law abiding citizen,0.8524233
flags of our fathers,the best years of our lives,0.85022295
lucky you,casino,0.8563164
zero dark thirty,13 hours: the secret soldiers of benghazi,0.85734755
the break-up,my best friend's wedding,0.8526561
mamma mia!,josie and the pussycats,0.85054564
the change-up,little children,0.8527758
casino,interview with the vampire,0.87440217
from paris with love,shade,0.85228956
bulletproof monk,兔侠传奇,0.8587066
barnyard,all hat,0.8545473
deck the halls,christmas with the kranks,0.8617466
the adjustment bureau,the ring two,0.851167
robin hood: prince of thieves,robin and marian,0.8808489
jerry maguire,kicking & screaming,0.85895956
ted,big daddy,0.8577707
as good as it gets,the big hit,0.852067
22 jump street,21 jump street,0.87202835
stepmom,the deep end of the ocean,0.85108626
into the woods,happily n'ever after,0.85332525
payback,de-lovely,0.85154486
knowing,won't back down,0.8746111
moneyball,for love of the game,0.85341024
outbreak,quarantine,0.8733592
race to witch mountain,stolen,0.8716465
herbie fully loaded,rush,0.8528182
don't say a word,last holiday,0.8778188
hansel & gretel: witch hunters,das weisse band,0.85092765
syriana,black november,0.87944573
13 hours: the secret soldiers of benghazi,argo,0.8683653
absolute power,the town,0.85612106
g.i. jane,le hussard sur le toit,0.85407364
the game,home alone 2: lost in new york,0.8566903
the negotiator,la chambre bleue,0.8621686
beverly hills cop iii,out of sight,0.85979253
the judge,blood work,0.85701793
bridget jones: the edge of reason,bridget jones's diary,0.85266733
the adventures of sharkboy and lavagirl,heartbreakers,0.8827962
raising helen,wanderlust,0.85258925
for love of the game,a league of their own,0.8578763
marmaduke,heartbeeps,0.852923
hereafter,scream 3,0.8563527
murder by numbers,a time to kill,0.8504777
hannibal rising,the silence of the lambs,0.8525334
the story of us,america's sweethearts,0.86306494
blood work,the life of david gale,0.85103023
the international,holy motors,0.85399234
the life of david gale,mad city,0.85527015
man of the house,lone wolf mcquade,0.8937061
run all night,kiss of death,0.86006737
eastern promises,child 44,0.8583537
into the blue,deep rising,0.8569091
your highness,journey to the center of the earth,0.8510705
mad city,domino,0.85273683
the big bounce,the thomas crown affair,0.87310606
street fighter: the legend of chun-li,delgo,0.85124266
the one,jfk,0.8544672
the adventures of ford fairlane,say it isn't so,0.8569559
traffic,scarface,0.89018255
indiana jones and the last crusade,spawn,0.86057353
chappie,the adventures of pinocchio,0.8542555
child 44,reds,0.8593342
k-pax,it's kind of a funny story,0.8602148
taken 3,taken 2,0.8993108
1947: earth,ராமானுஜன்,0.85035807
the thomas crown affair,identity thief,0.8639134
first blood,flight of the intruder,0.86220115
insomnia,the cell,0.8502259
star trek: first contact,star trek: generations,0.8584626
the infiltrator,midnight in the garden of good and evil,0.851624
taken 2,the betrayed,0.8540865
journey to the center of the earth,abduction,0.8573023
prisoners,16 blocks,0.85279167
training day,get rich or die tryin',0.8713388
blade,underworld: evolution,0.85650575
anaconda,predators,0.85795385
love actually,blended,0.8799578
"yours, mine and ours",hearts in atlantis,0.8547456
kicking & screaming,ri¢hie ri¢h,0.86365044
the hitchhiker's guide to the galaxy,seeking a friend for the end of the world,0.85064137
fat albert,what's eating gilbert grape,0.8598718
last holiday,double jeopardy,0.85581
the river wild,extreme ops,0.86178595
the indian in the cupboard,長江七號,0.8604051
savages,ride along 2,0.8654194
cellular,switchback,0.8502762
johnny english,cypher,0.8531769
revolutionary road,the out-of-towners,0.8625271
the glimmer man,the sixth sense,0.85507905
the phantom,sky high,0.85136515
all the pretty horses,down in the valley,0.8500536
miracle at st. anna,10th & wolf,0.85251135
滿城盡帶黃金甲,刺客聶隱娘,0.8795485
shadow conspiracy,the mechanic,0.8520298
rambo: first blood part ii,red sky,0.8541085
the juror,civil brand,0.855759
underworld: evolution,dracula,0.8647996
victor frankenstein,brüno,0.8669338
finding forrester,alone in the dark,0.8503696
28 days,"bright lights, big city",0.8511892
the sweetest thing,mommie dearest,0.87454283
21 jump street,dazed and confused,0.8510223
the heat,white chicks,0.85518646
here comes the boom,一個人的武林,0.8837843
the mirror has two faces,the big swap,0.8565203
the mothman prophecies,blindness,0.85451055
licence to kill,a walk among the tombstones,0.85390884
super mario bros.,gojira ni-sen mireniamu,0.85292286
英雄,perrier’s bounty,0.8611272
one for the money,unforgiven,0.8700369
man on a ledge,cradle 2 the grave,0.8564448
back to the future part ii,back to the future part iii,0.91140014
a league of their own,the bad news bears,0.85586643
the conjuring 2,hanging up,0.86043954
the social network,rise of the entrepreneur: the search for a better way,0.85298926
he's just not that into you,shallow hal,0.85412735
scream 3,scream 2,0.86971444
back to the future part iii,in time,0.8616064
the talented mr. ripley,ripley's game,0.87677974
dumb and dumber to,godsend,0.86117166
the intern,there's something about mary,0.8546007
big momma's house 2,big momma's house,0.9042364
the mexican,the net,0.85035616
the final destination,unknown,0.8501954
spawn,the omen,0.8507308
the lincoln lawyer,the guilt trip,0.8607645
horrible bosses 2,葉問3,0.8524304
escape from planet earth,trekkies,0.86077225
apocalypto,an unfinished life,0.85022414
the living daylights,octopussy,0.8987895
secret window,the lake house,0.87300426
made of honor,the five-year engagement,0.8808237
aliens vs predator: requiem,monsters,0.8513676
ri¢hie ri¢h,the game plan,0.8500392
autumn in new york,are we there yet?,0.85224855
the guilt trip,the hudsucker proxy,0.87194103
8mm,street kings,0.8503356
the doors,walk hard: the dewey cox story,0.8792589
hanging up,mickey blue eyes,0.85174096
get rich or die tryin',we're the millers,0.8657556
bless the child,agent cody banks,0.85129935
the island of dr. moreau,antwone fisher,0.8771847
the reaping,the witch,0.8589911
mean streets,at first sight,0.8511794
colombiana,max payne,0.85439146
city by the sea,torque,0.8578265
at first sight,duplex,0.8516564
torque,wayne's world,0.8591879
showgirls,step up revolution,0.860187
marie antoinette,midnight in paris,0.8577673
ishtar,bobby,0.85013103
fantastic mr. fox,the cottage,0.8585655
the deep end of the ocean,the young victoria,0.8510587
duplex,trainwreck,0.8654212
raise the titanic,private benjamin,0.85139704
impostor,antitrust,0.85844386
just visiting,les visiteurs,0.8730937
the gunman,doc holliday's revenge,0.85172325
the hunting party,lion of the desert,0.85413253
the hudsucker proxy,malcolm x,0.85392004
the crow,green room,0.85635936
the time traveler's wife,atonement,0.8604517
frankenweenie,raising victor vargas,0.8767416
superman iii,superman iv: the quest for peace,0.86762923
grudge match,playing for keeps,0.86896324
the ugly truth,water for elephants,0.85093796
spy kids 2: the island of lost dreams,spy kids,0.8980936
paul blart: mall cop 2,echo dr.,0.8547369
precious,the wiz,0.8584107
white squall,les choristes,0.85052025
riddick,pitch black,0.89350736
texas rangers,the bad lieutenant: port of call - new orleans,0.85820293
the master,legion,0.850722
the 5th wave,safe,0.8504971
burn after reading,dirty work,0.8557855
rush,solitary man,0.86186886
dolphin tale,stand by me,0.8522041
twilight,pitch perfect 2,0.88105273
we're the millers,pineapple express,0.8639687
hot tub time machine,national lampoon's vacation,0.85651815
the rite,deliver us from evil,0.854025
gattaca,the number 23,0.85273194
head of state,this is the end,0.85130733
batman,"batman: the dark knight returns, part 2",0.8877215
lethal weapon 3,a few good men,0.8568967
the devil wears prada,how to lose friends & alienate people,0.8572347
star trek: the motion picture,star trek v: the final frontier,0.87990665
guess who,in & out,0.8595111
l.a. confidential,seven psychopaths,0.8547829
a nightmare on elm street,keeping the faith,0.8581929
tmnt,teenage mutant ninja turtles ii: the secret of the ooze,0.9058762
radio,radio days,0.86985844
friends with benefits,the wedding date,0.853756
neighbors 2: sorority rising,old school,0.85734606
saving mr. banks,mary poppins,0.8668922
malcolm x,mirrors,0.85076475
old dogs,trust the man,0.8529828
underworld: rise of the lycans,bloodrayne,0.86206913
resident evil,land of the dead,0.8524559
max payne,hot pursuit,0.8585199
black knight,lawrence of arabia,0.8524556
street fighter,flash gordon,0.8546426
the pianist,shine,0.8669861
house of wax,chronicle,0.8509672
queen of the damned,ultraviolet,0.8561058
blast from the past,freaky deaky,0.8633205
heist,runner runner,0.8506516
nanny mcphee and the big bang,nanny mcphee,0.8854252
abduction,the shipping news,0.8556552
superhero movie,kick-ass,0.88288224
cursed,underworld,0.8734874
hot pursuit,femme fatale,0.853135
wimbledon,match point,0.8527262
furry vengeance,kingdom of the spiders,0.8572873
bait,the reef,0.869502
flight of the intruder,apocalypse now,0.8574924
american outlaws,the assassination of jesse james by the coward robert ford,0.8819456
the tree of life,slacker,0.8575403
the order,the boondock saints ii: all saints day,0.85221905
the walk,man on wire,0.8844421
le hussard sur le toit,the longest ride,0.8623576
bandidas,the sting,0.8763746
chill factor,buried,0.85199416
stolen,the prince,0.8803346
the longest ride,a history of violence,0.87937033
the astronaut's wife,my stepmother is an alien,0.8511636
playing for keeps,down to earth,0.8522974
mandela: long walk to freedom,goodbye bafana,0.8895417
reds,barney's version,0.85615766
a few good men,the devil's tomb,0.8500912
big momma's house,"big mommas: like father, like son",0.88798946
the darkest hour,independence daysaster,0.8690489
step up revolution,desert dancer,0.8574013
snakes on a plane,united 93,0.85257864
the punisher,sicario,0.8557615
wanderlust,laws of attraction,0.8737339
snow dogs,saw,0.8540146
scrooged,the muppet christmas carol,0.8553657
"big mommas: like father, like son",mindhunters,0.86259186
alive,eden,0.85926116
the quick and the dead,bride wars,0.85001636
repo men,repo! the genetic opera,0.85539955
the incredible burt wonderstone,wild card,0.8547596
cats don't dance,top five,0.851375
george and the dragon,son of god,0.8531776
going the distance,a lot like love,0.86867625
out of africa,open road,0.8510352
arachnophobia,eight legged freaks,0.87719864
frequency,the butterfly effect,0.85129356
vacation,mr. bean's holiday,0.8541402
chicago,original sin,0.85051155
big daddy,mystic river,0.8611603
american pie 2,jimmy neutron: boy genius,0.8558443
ace ventura: when nature calls,もののけ姫,0.88943315
the princess diaries,what a girl wants,0.8575427
the first wives club,just my luck,0.86793584
mystic river,the prince of tides,0.8557354
million dollar baby,the fighter,0.85067815
analyze this,the whole nine yards,0.85027486
the notebook,little boy,0.85064197
the prince of tides,warm bodies,0.86476827
legends of the fall,bad moms,0.85233295
warm bodies,hope springs,0.8637245
down to earth,larry crowne,0.9001115
